X,Y,Index_,event_unique_id,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,Neighbourhood,Long,Lat,ObjectId
-79.3842087,43.7226105,62797,GO-20152022259,2015-11-25T00:01:00.000Z,2015-11-25T13:10:00.000Z,House,2135,210,Theft Of Motor Vehicle,2015,November,25,329,Wednesday ,13,2015,November,25,329,Wednesday ,0,Auto Theft,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3842087,43.7226105,62831
-79.3649673,43.7177849,62039,GO-20151425092,2015-08-19T00:00:00.000Z,2015-08-19T07:59:00.000Z,House,2135,210,Theft Of Motor Vehicle,2015,August,19,231,Wednesday ,7,2015,August,19,231,Wednesday ,0,Auto Theft,D53,56,Leaside-Bennington (56),-79.3649673,43.7177849,62939
-79.3840866,43.7247581,67297,GO-20173243117,2017-12-21T19:35:00.000Z,2017-12-21T20:56:00.000Z,House,2120,200,B&E,2017,December,21,355,Thursday  ,20,2017,December,21,355,Thursday  ,19,Break and Enter,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3840866,43.7247581,67682
-79.3679733,43.7182083,59590,GO-20141985749,2014-04-29T18:30:00.000Z,2014-04-30T07:57:00.000Z,Other,2135,210,Theft Of Motor Vehicle,2014,April,30,120,Wednesday ,7,2014,April,29,119,Tuesday   ,18,Auto Theft,D53,56,Leaside-Bennington (56),-79.3679733,43.7182083,59375
-79.403572100000019,43.7248459,59283,GO-20143000670,2014-09-28T08:15:00.000Z,2014-09-28T10:10:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2014,September,28,271,Sunday    ,10,2014,September,28,271,Sunday    ,8,Auto Theft,D32,105,Lawrence Park North (105),-79.4035721,43.7248459,59851
-79.403572100000019,43.7248459,60115,GO-20143000670,2014-09-28T08:15:00.000Z,2014-09-28T10:10:00.000Z,Outside,2135,210,Theft Of Motor Vehicle,2014,September,28,271,Sunday    ,10,2014,September,28,271,Sunday    ,8,Auto Theft,D32,105,Lawrence Park North (105),-79.4035721,43.7248459,60378
-79.3816147,43.7231483,60972,GO-201581071,2015-01-14T14:40:00.000Z,2015-01-14T21:09:00.000Z,House,2135,210,Theft Of Motor Vehicle,2015,January,14,14,Wednesday ,21,2015,January,14,14,Wednesday ,14,Auto Theft,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3816147,43.7231483,60545
-79.363380400000011,43.7167282,53779,GO-20151662392,2015-09-26T02:42:00.000Z,2015-09-26T02:42:00.000Z,House,1420,100,Assault With Weapon,2015,September,26,269,Saturday  ,2,2015,September,26,269,Saturday  ,2,Assault,D53,56,Leaside-Bennington (56),-79.3633804,43.7167282,53622
-79.3592606,43.717308,53141,GO-2015212563,2015-02-05T09:00:00.000Z,2015-02-05T22:29:00.000Z,House,2120,200,B&E,2015,February,5,36,Thursday  ,22,2015,February,5,36,Thursday  ,9,Break and Enter,D53,56,Leaside-Bennington (56),-79.3592606,43.717308,53674
-79.3602753,43.7185898,51023,GO-20142886473,2014-09-06T23:01:00.000Z,2014-09-10T06:40:00.000Z,Outside,1430,100,Assault,2014,September,10,253,Wednesday ,6,2014,September,6,249,Saturday  ,23,Assault,D53,56,Leaside-Bennington (56),-79.3602753,43.7185898,51031
